Time,X1,X2
2012-03-22 08:30:00,14770,0
2012-03-26 16:30:00,14812,282
2012-04-02 17:01:00,14881,836
2012-04-16 21:58:00,15049,2006
2012-05-29 23:09:00,15555,4163
2012-06-20 19:40:00,15829,4940
2012-07-30 00:00:00,16222,5664
2012-08-27 19:44:00,16639,5934
2012-09-06 23:35:00,16861,6129
2012-09-23 20:04:00,17065,6589
2012-10-03 19:06:00,17195,6978
2012-10-18 23:35:00,17482,7860
2012-11-04 17:23:00,17776,9205
2012-12-03 18:51:00,18410,11427
2012-12-18 00:04:00,19020,13217
2013-01-01 20:26:00,19337,14652
2013-01-11 19:03:00,19517,15624
2013-02-17 18:42:00,20323,19755
2013-03-03 00:00:00,20566,21025
2013-03-11 00:03:00,20696,21756
2013-03-28 17:35:00,20899,23630
2013-04-02 00:16:00,20960,23996
2013-04-03 21:30:00,20989,24135
2013-04-05 00:13:00,21009,24213
2013-04-10 18:22:00,21077,24617
2013-04-11 23:30:00,21090,24716
2013-04-14 23:14:00,21133,24927
2013-04-17 23:06:00,21175,25089
2013-04-20 23:55:00,21217,25255
2013-04-21 23:08:00,21226,25298
2013-04-28 23:30:00,21311,25627
2013-05-02 21:42:00,21363,25801
2013-05-09 10:14:00,21459,25984
2013-05-17 00:30:00,21570,26136
2013-05-21 23:50:00,21657,26208
2013-06-01 00:43:00,21816,26363
2013-06-04 23:00:00,21919,26405
2013-06-16 00:53:00,22135,26445
2013-06-20 22:03:00,22230,26455
2013-07-01 22:51:00,22472,26464
2013-07-09 00:32:00,22608,26470
2013-07-10 23:10:00,22654,26473
2013-07-20 00:41:00,22873,26480
2013-08-18 00:00:00,23580,26535
2013-08-22 23:15:00,23676,26538
2013-08-29 23:40:00,23821,26562
2013-09-03 23:40:00,23922,26587
2013-09-13 22:52:00,24145,26612
2013-09-17 00:52:00,24208,26630
2013-09-28 13:51:00,24403,26893
2013-10-26 01:55:00,24796,28456
2013-11-02 00:57:00,24884,28842
2013-11-07 17:45:00,24965,29256
2013-11-13 22:50:00,25040,29751
2013-11-23 19:20:00,25180,30578
2013-11-30 00:32:00,25263,31205
2013-12-04 01:15:00,25314,31587
2013-12-09 00:00:00,25386,32214
2013-12-16 23:40:00,25486,32868
2013-12-19 01:30:00,25518,33053
2013-12-29 16:05:00,25643,33952
2014-01-02 12:08:00,25701,34285
2014-01-06 00:44:00,25752,34559
